date,met_1,met_2,met_3,met_4,met_5,met_6,met_7,met_8,device_id
01/10/2022 00:37,1,6,5,4,3,6,9,8,3
01/10/2022 00:38,9,10,7,6,4,3,3,4,1
01/10/2022 00:39,10,5,5,2,6,5,4,10,3
01/10/2022 00:40,5,5,8,10,1,3,7,7,2
01/10/2022 00:41,7,2,4,5,5,9,6,8,3
01/10/2022 00:42,3,9,5,2,5,9,10,1,2
01/10/2022 00:43,8,9,9,5,6,5,10,3,1
01/10/2022 00:44,6,5,5,7,2,2,4,5,2
01/10/2022 00:45,9,2,7,9,3,7,3,1,1
01/10/2022 00:46,9,3,7,5,3,6,4,6,3
01/10/2022 00:47,6,7,8,5,1,7,4,7,2
01/10/2022 00:48,1,2,8,10,10,2,1,8,1
01/10/2022 00:49,8,6,1,1,3,7,9,4,2
01/10/2022 00:50,3,6,5,8,3,1,7,9,2
01/10/2022 00:51,7,4,2,8,7,9,3,1,2
01/10/2022 00:52,4,2,2,4,7,7,5,8,1
01/10/2022 00:53,9,3,7,9,8,10,1,4,3
01/10/2022 00:54,8,7,7,1,1,3,6,3,3
01/10/2022 00:55,8,7,3,7,4,7,9,8,1
01/10/2022 00:56,7,9,6,7,1,7,7,9,1
01/10/2022 00:57,3,1,9,3,6,6,5,10,1
01/10/2022 00:58,3,9,3,7,5,8,3,10,1
01/10/2022 00:59,10,8,1,4,3,4,1,3,1
01/10/2022 01:00,10,6,7,1,6,6,7,7,3
01/10/2022 01:01,8,10,9,5,9,2,6,9,1
01/10/2022 01:02,1,9,9,7,10,10,9,6,2
01/10/2022 01:03,1,9,7,9,9,9,10,3,2
01/10/2022 01:04,3,4,6,7,9,3,5,6,1
01/10/2022 01:05,3,9,1,7,1,9,6,3,2
01/10/2022 01:06,8,2,10,8,3,5,8,10,2
01/10/2022 01:07,2,8,3,8,7,8,9,5,3
01/10/2022 01:08,1,6,1,4,1,1,6,9,1
01/10/2022 01:09,8,2,8,4,1,10,10,4,1
01/10/2022 01:10,10,9,1,7,9,3,2,1,3
01/10/2022 01:11,10,1,6,10,9,8,4,4,2
01/10/2022 01:12,5,9,1,2,2,4,1,1,3
01/10/2022 01:13,4,10,9,4,6,7,4,1,2
01/10/2022 01:14,1,7,1,2,5,5,8,9,2
01/10/2022 01:15,3,5,3,1,8,6,6,6,3
01/10/2022 01:16,3,6,6,9,3,6,7,9,2
01/10/2022 01:17,1,4,9,8,2,7,3,9,2
01/10/2022 01:18,8,2,5,7,5,4,7,4,1
01/10/2022 01:19,7,1,4,5,8,5,6,7,3
01/10/2022 01:20,2,1,3,9,10,7,5,5,2
01/10/2022 01:21,1,1,7,1,7,2,4,7,2
01/10/2022 01:22,1,7,9,7,5,2,1,6,3
01/10/2022 01:23,8,5,6,10,8,5,1,7,2
01/10/2022 01:24,7,8,6,3,5,2,3,2,2
01/10/2022 01:25,3,1,10,5,6,8,10,4,1
01/10/2022 01:26,5,3,8,10,2,9,6,10,1
01/10/2022 01:27,10,6,5,4,7,5,9,6,3
01/10/2022 01:28,8,3,1,10,2,5,9,3,3
01/10/2022 01:29,2,8,4,9,5,5,5,7,3
01/10/2022 01:30,8,9,5,10,10,2,2,5,3
01/10/2022 01:31,10,7,1,10,1,2,9,2,1
01/10/2022 01:32,4,3,3,3,3,4,7,5,1
01/10/2022 01:33,10,4,10,4,2,8,7,6,1
01/10/2022 01:34,2,3,5,1,2,6,2,6,2
01/10/2022 01:35,5,8,2,8,3,2,6,6,2
01/10/2022 01:36,6,4,9,4,1,9,3,5,3
01/10/2022 01:37,2,2,4,1,4,3,4,10,1
01/10/2022 01:38,3,7,10,1,10,10,3,9,1
01/10/2022 01:39,6,2,4,1,8,2,7,2,1
01/10/2022 01:40,7,7,9,6,7,3,10,5,2
01/10/2022 01:41,9,1,4,1,4,4,10,6,1
01/10/2022 01:42,1,1,1,4,2,9,6,7,1
01/10/2022 01:43,1,6,10,6,5,3,8,9,3
01/10/2022 01:44,4,4,2,9,5,4,2,6,2
01/10/2022 01:45,2,2,2,7,5,9,1,3,2
01/10/2022 01:46,1,8,10,7,6,5,4,3,2
01/10/2022 01:47,8,3,2,1,2,3,3,7,3
01/10/2022 01:48,4,8,4,7,10,7,10,3,2
01/10/2022 01:49,1,10,8,9,10,1,5,3,2
01/10/2022 01:50,7,5,9,2,3,7,8,5,1
01/10/2022 01:51,10,1,1,8,8,5,4,5,3
01/10/2022 01:52,8,7,2,3,7,3,8,9,2
01/10/2022 01:53,8,8,6,7,4,9,1,6,1
01/10/2022 01:54,6,6,3,5,9,10,1,6,3
01/10/2022 01:55,1,7,4,5,5,6,5,9,3
01/10/2022 01:56,5,2,1,7,3,8,8,1,1
01/10/2022 01:57,1,6,7,10,1,2,8,3,2
01/10/2022 01:58,10,5,2,5,6,8,6,3,2
01/10/2022 01:59,5,1,2,5,1,9,9,2,3
01/10/2022 02:00,6,3,10,10,5,5,4,3,3
01/10/2022 02:01,7,5,9,7,9,5,6,5,2
01/10/2022 02:02,3,8,7,2,1,7,1,10,1
01/10/2022 02:03,1,5,7,10,9,9,5,3,1
01/10/2022 02:04,10,1,2,8,8,9,4,8,1
01/10/2022 02:05,8,9,7,4,4,5,2,3,1
01/10/2022 02:06,1,4,3,3,2,2,5,2,2
01/10/2022 02:07,8,1,3,10,4,9,7,5,3
01/10/2022 02:08,9,5,7,3,5,1,5,1,3
01/10/2022 02:09,8,6,10,7,2,7,2,10,1
01/10/2022 02:10,8,8,9,6,4,9,1,8,1
01/10/2022 02:11,1,9,6,2,9,8,8,1,2
01/10/2022 02:12,7,2,1,10,8,8,10,1,3
01/10/2022 02:13,7,4,4,6,8,6,8,10,3
01/10/2022 02:14,9,3,9,10,9,9,6,2,2
01/10/2022 02:15,3,1,5,3,6,3,4,3,1
01/10/2022 02:16,6,4,4,8,3,2,3,10,3
01/10/2022 02:17,9,6,7,1,7,9,10,3,3
01/10/2022 02:18,10,2,6,1,5,7,8,10,1
01/10/2022 02:19,9,6,2,8,5,1,10,3,1
01/10/2022 02:20,4,10,7,8,1,8,3,3,1
01/10/2022 02:21,10,5,3,2,1,5,1,3,3
01/10/2022 02:22,5,3,10,4,6,5,6,5,2
01/10/2022 02:23,6,7,4,6,4,5,7,4,1
01/10/2022 02:24,4,6,9,5,4,9,3,8,2
01/10/2022 02:25,1,8,5,10,3,3,7,1,3
01/10/2022 02:26,7,6,7,6,6,5,6,6,2
01/10/2022 02:27,1,2,8,6,9,5,8,3,2
01/10/2022 02:28,3,3,5,3,5,5,3,8,1
01/10/2022 02:29,8,7,2,6,6,9,3,4,3
01/10/2022 02:30,5,10,7,7,3,3,7,5,1
01/10/2022 02:31,7,10,1,5,1,8,5,4,3
01/10/2022 02:32,4,7,10,9,8,9,9,1,3
01/10/2022 02:33,9,6,10,5,5,5,9,1,2
01/10/2022 02:34,7,3,8,4,3,2,1,8,3
01/10/2022 02:35,1,3,9,3,8,2,8,8,1
01/10/2022 02:36,9,6,9,1,3,5,3,1,3
01/10/2022 02:37,5,6,6,7,9,1,6,9,1
01/10/2022 02:38,4,7,4,1,9,8,7,8,2
01/10/2022 02:39,8,7,9,1,10,10,9,5,3
01/10/2022 02:40,6,6,9,8,6,3,9,3,1
01/10/2022 02:41,2,9,4,10,10,3,7,4,3
01/10/2022 02:42,1,9,2,6,6,10,6,3,1
01/10/2022 02:43,6,3,4,1,3,3,6,4,3
01/10/2022 02:44,8,2,3,4,3,10,5,6,3
01/10/2022 02:45,9,4,6,3,7,3,5,7,3
01/10/2022 02:46,3,5,1,4,9,4,2,3,3
01/10/2022 02:47,1,7,2,8,8,1,2,5,1
01/10/2022 02:48,2,5,4,7,4,7,6,4,2
01/10/2022 02:49,6,3,2,3,4,7,7,4,2
01/10/2022 02:50,3,10,2,10,6,9,5,6,3
01/10/2022 02:51,4,10,3,1,2,9,2,1,2
01/10/2022 02:52,9,4,2,3,8,4,6,7,2
01/10/2022 02:53,10,3,9,9,7,8,2,8,1
01/10/2022 02:54,10,3,5,2,4,3,1,3,2
01/10/2022 02:55,7,6,9,7,6,2,10,4,3
01/10/2022 02:56,10,8,4,1,10,2,3,6,2
01/10/2022 02:57,1,9,1,8,4,6,2,1,2
01/10/2022 02:58,6,2,2,10,6,7,4,2,3
01/10/2022 02:59,5,9,2,10,9,6,4,2,2
01/10/2022 03:00,2,10,6,5,4,8,10,3,3
01/10/2022 03:01,8,10,10,2,10,10,4,8,2
01/10/2022 03:02,3,1,5,1,2,3,1,5,2
01/10/2022 03:03,9,4,8,5,4,8,8,4,2
01/10/2022 03:04,2,3,10,5,6,3,1,1,3
01/10/2022 03:05,7,3,9,7,6,5,1,10,2
01/10/2022 03:06,4,9,2,7,3,4,1,3,3
01/10/2022 03:07,8,10,4,6,8,7,10,9,1
01/10/2022 03:08,6,7,10,3,5,9,3,6,1
01/10/2022 03:09,1,6,2,10,3,7,2,2,2
01/10/2022 03:10,3,1,1,3,9,10,4,5,2
01/10/2022 03:11,1,6,4,1,5,10,6,3,2
01/10/2022 03:12,8,8,4,10,6,5,6,8,1
01/10/2022 03:13,5,5,8,9,2,3,3,2,2
01/10/2022 03:14,1,2,9,7,3,10,9,2,1
01/10/2022 03:15,5,4,10,9,8,10,5,7,3
01/10/2022 03:16,10,4,3,9,1,3,5,2,2
01/10/2022 03:17,7,6,5,10,4,10,6,2,1
01/10/2022 03:18,1,3,9,3,2,6,6,5,3
01/10/2022 03:19,10,7,4,5,5,8,9,7,3
01/10/2022 03:20,3,8,7,8,6,1,4,3,1
01/10/2022 03:21,7,4,9,4,3,3,8,7,2
01/10/2022 03:22,10,1,10,5,3,6,6,6,1
01/10/2022 03:23,9,1,1,10,8,9,10,9,1
01/10/2022 03:24,10,6,4,2,6,9,9,1,1
01/10/2022 03:25,1,9,2,3,3,1,1,2,2
01/10/2022 03:26,4,2,8,1,5,2,9,7,1
01/10/2022 03:27,9,8,5,4,10,10,10,4,2
01/10/2022 03:28,10,1,4,5,9,8,1,7,2
01/10/2022 03:29,6,1,9,10,6,3,7,4,3
01/10/2022 03:30,4,4,1,2,1,10,1,9,2
01/10/2022 03:31,8,5,1,2,7,1,3,10,2
01/10/2022 03:32,10,2,8,3,2,1,7,10,2
01/10/2022 03:33,2,4,3,4,3,7,5,6,2
01/10/2022 03:34,6,7,3,1,8,3,2,4,2
01/10/2022 03:35,6,9,2,7,3,2,5,2,3
01/10/2022 03:36,1,7,6,8,6,9,4,6,3
01/10/2022 03:37,8,2,6,6,6,6,1,2,3
01/10/2022 03:38,9,10,1,2,6,1,1,4,1
01/10/2022 03:39,5,2,10,1,8,2,5,1,2
01/10/2022 03:40,3,3,2,5,6,10,5,9,2
01/10/2022 03:41,10,5,5,6,4,4,9,9,2
01/10/2022 03:42,10,2,2,7,10,5,2,10,2
01/10/2022 03:43,9,10,9,5,2,10,10,9,3
01/10/2022 03:44,1,5,1,1,5,2,1,4,2
01/10/2022 03:45,7,2,2,4,10,2,9,5,1
01/10/2022 03:46,4,8,4,3,6,9,5,2,3
01/10/2022 03:47,4,2,9,8,3,2,5,10,3
01/10/2022 03:48,2,8,9,3,10,10,3,9,3
01/10/2022 03:49,2,6,7,7,10,5,8,7,3
01/10/2022 03:50,3,10,6,2,7,3,2,9,1
01/10/2022 03:51,5,6,6,9,3,7,7,4,1
01/10/2022 03:52,7,1,4,4,2,7,5,7,3
01/10/2022 03:53,10,6,8,8,2,6,9,1,2
01/10/2022 03:54,10,1,7,3,9,1,7,3,1
01/10/2022 03:55,5,7,4,5,10,3,7,3,2
01/10/2022 03:56,3,1,5,9,10,1,10,8,2
01/10/2022 03:57,7,1,2,3,6,5,3,10,2
01/10/2022 03:58,1,3,10,7,7,1,8,2,1
01/10/2022 03:59,2,5,3,3,5,2,8,9,1
01/10/2022 04:00,2,9,1,6,4,2,9,6,1
01/10/2022 04:01,10,3,3,3,2,6,7,10,1
01/10/2022 04:02,7,7,4,1,5,10,6,3,2
01/10/2022 04:03,6,7,10,1,8,2,8,10,2
01/10/2022 04:04,5,6,3,7,9,6,10,8,3
01/10/2022 04:05,10,8,8,9,7,2,7,1,3
01/10/2022 04:06,10,3,3,1,10,7,2,9,3
01/10/2022 04:07,6,6,10,1,6,7,7,5,1
01/10/2022 04:08,4,9,3,1,6,3,4,1,1
01/10/2022 04:09,7,4,10,1,9,10,2,2,1
01/10/2022 04:10,3,4,2,10,7,6,1,7,1
01/10/2022 04:11,4,7,9,2,5,2,8,4,1
01/10/2022 04:12,7,2,8,1,8,8,1,3,3
01/10/2022 04:13,3,1,1,4,4,9,4,3,2
01/10/2022 04:14,4,8,3,10,5,8,10,10,2
01/10/2022 04:15,7,4,6,8,5,10,5,2,1
01/10/2022 04:16,8,10,10,6,10,1,6,10,3
01/10/2022 04:17,7,7,4,7,8,8,5,2,1
01/10/2022 04:18,8,7,3,5,9,8,7,4,3
01/10/2022 04:19,3,6,10,9,4,1,1,9,3
01/10/2022 04:20,5,5,3,2,7,6,10,9,2
01/10/2022 04:21,2,5,8,4,2,9,2,6,3
01/10/2022 04:22,6,5,5,9,9,6,1,8,1
01/10/2022 04:23,4,1,6,8,10,6,10,9,2
01/10/2022 04:24,8,8,10,4,6,2,8,3,1
01/10/2022 04:25,3,6,1,4,2,4,4,8,2
01/10/2022 04:26,2,10,2,7,7,1,7,9,1
01/10/2022 04:27,1,5,2,4,1,4,1,10,1
01/10/2022 04:28,5,7,1,6,10,3,8,5,2
01/10/2022 04:29,10,7,1,10,8,4,10,3,2
01/10/2022 04:30,10,8,9,8,3,6,5,4,1
01/10/2022 04:31,10,2,8,5,8,7,8,7,2
01/10/2022 04:32,10,2,7,1,5,1,4,4,1
01/10/2022 04:33,4,4,9,4,6,9,10,7,2
01/10/2022 04:34,1,6,6,10,5,2,10,6,1
01/10/2022 04:35,2,4,7,10,6,7,4,3,1
01/10/2022 04:36,6,7,1,10,4,3,5,8,3
01/10/2022 04:37,8,8,1,7,3,4,9,8,2
01/10/2022 04:38,5,9,7,2,9,10,5,6,3
01/10/2022 04:39,9,7,9,3,2,5,9,9,2
01/10/2022 04:40,3,9,10,7,6,6,6,10,1
01/10/2022 04:41,2,9,8,7,2,9,1,6,3
01/10/2022 04:42,3,2,9,3,3,3,3,10,3
01/10/2022 04:43,10,7,2,6,8,4,10,9,2
01/10/2022 04:44,1,5,10,10,9,10,3,9,3
01/10/2022 04:45,3,9,8,2,1,3,9,5,2
01/10/2022 04:46,4,7,3,5,5,1,3,5,3
01/10/2022 04:47,9,8,8,5,2,1,7,5,2
01/10/2022 04:48,9,6,7,7,6,7,3,6,2
01/10/2022 04:49,4,6,4,7,7,10,10,10,1
01/10/2022 04:50,8,4,10,4,3,2,5,4,1
01/10/2022 04:51,5,9,3,1,3,7,7,2,2
01/10/2022 04:52,3,10,7,10,6,1,10,5,3
01/10/2022 04:53,4,4,3,3,3,7,1,5,3
01/10/2022 04:54,6,1,10,8,4,9,4,10,2
01/10/2022 04:55,4,9,7,9,8,2,8,2,3
01/10/2022 04:56,2,1,3,6,1,7,1,5,1
01/10/2022 04:57,9,3,2,6,10,8,4,3,3
01/10/2022 04:58,6,6,2,1,6,1,3,1,1
01/10/2022 04:59,6,2,2,6,10,7,2,6,1
01/10/2022 05:00,1,9,9,5,10,10,4,8,3
01/10/2022 05:01,3,4,9,3,4,2,9,3,3
01/10/2022 05:02,1,4,8,7,2,6,9,9,3
01/10/2022 05:03,4,10,4,8,3,1,5,8,3
01/10/2022 05:04,1,1,9,7,3,9,6,8,2
01/10/2022 05:05,4,3,10,3,6,10,5,5,1
01/10/2022 05:06,3,5,10,7,10,6,6,7,1
01/10/2022 05:07,7,4,10,2,10,3,10,10,2
01/10/2022 05:08,7,9,6,5,3,6,6,10,1
01/10/2022 05:09,3,2,1,10,5,10,8,8,1
01/10/2022 05:10,7,2,9,2,8,4,10,8,3
01/10/2022 05:11,9,9,7,9,8,1,6,1,1
01/10/2022 05:12,7,1,3,5,3,7,2,2,2
01/10/2022 05:13,2,9,3,9,1,6,7,10,2
01/10/2022 05:14,3,1,9,10,2,4,10,8,1
01/10/2022 05:15,5,9,1,8,4,10,8,8,3
01/10/2022 05:16,3,2,5,3,10,7,2,1,3
01/10/2022 05:17,1,3,5,1,3,4,2,8,2
01/10/2022 05:18,5,4,8,10,7,8,9,1,2
01/10/2022 05:19,9,3,6,10,1,6,2,9,2
01/10/2022 05:20,6,3,9,2,9,5,7,1,2
01/10/2022 05:21,2,3,4,3,1,4,3,7,3
01/10/2022 05:22,7,8,10,7,6,2,7,6,3
01/10/2022 05:23,3,1,3,5,1,9,9,9,1
01/10/2022 05:24,8,10,9,5,9,2,7,5,2
01/10/2022 05:25,6,7,4,2,10,6,8,8,1
01/10/2022 05:26,2,5,10,4,4,3,7,10,3
01/10/2022 05:27,5,3,7,6,5,5,10,7,3
01/10/2022 05:28,4,6,7,9,6,10,4,10,2
01/10/2022 05:29,10,7,4,9,5,9,6,2,3
01/10/2022 05:30,1,4,7,5,8,8,9,1,2
01/10/2022 05:31,3,10,7,9,9,10,9,10,3
01/10/2022 05:32,5,2,1,9,7,2,8,5,3
01/10/2022 05:33,1,1,3,9,4,9,3,1,1
01/10/2022 05:34,8,7,1,5,9,4,4,6,3
01/10/2022 05:35,10,1,10,9,5,7,3,7,3
01/10/2022 05:36,1,9,9,9,2,7,7,2,2
01/10/2022 05:37,6,3,4,5,8,8,9,9,2
01/10/2022 05:38,7,10,7,7,2,8,8,10,1
01/10/2022 05:39,4,7,10,7,8,4,1,3,2
01/10/2022 05:40,1,10,5,10,10,6,3,8,1
01/10/2022 05:41,7,4,1,2,8,1,9,4,1
01/10/2022 05:42,4,6,2,10,2,10,8,4,3
01/10/2022 05:43,3,7,6,9,1,8,6,4,2
01/10/2022 05:44,3,5,10,8,10,3,7,1,2
01/10/2022 05:45,10,5,6,8,4,4,7,5,1
01/10/2022 05:46,8,4,5,4,1,5,9,9,1
01/10/2022 05:47,6,5,1,6,5,2,4,1,1
01/10/2022 05:48,4,4,3,7,7,10,8,5,2
01/10/2022 05:49,2,8,6,9,2,8,2,3,3
01/10/2022 05:50,7,10,2,3,3,2,2,10,1
01/10/2022 05:51,8,5,4,5,9,10,3,9,1
01/10/2022 05:52,10,2,8,9,6,5,1,8,2
01/10/2022 05:53,8,9,6,4,10,5,8,5,1
01/10/2022 05:54,8,8,8,1,3,2,6,10,2
01/10/2022 05:55,1,5,9,4,3,4,1,8,1
01/10/2022 05:56,1,5,3,3,2,2,3,5,2
01/10/2022 05:57,3,1,1,2,9,6,4,3,3
01/10/2022 05:58,1,6,7,4,10,8,9,8,1
01/10/2022 05:59,3,3,6,4,3,7,1,7,1
01/10/2022 06:00,1,5,4,9,8,1,2,3,2
01/10/2022 06:01,1,4,1,9,7,5,2,4,1
01/10/2022 06:02,1,10,6,4,9,3,1,8,1
01/10/2022 06:03,4,8,10,1,2,5,7,7,2
01/10/2022 06:04,2,4,3,6,3,3,5,4,3
01/10/2022 06:05,10,10,10,10,6,9,8,2,3
01/10/2022 06:06,2,6,9,1,7,9,6,9,3
01/10/2022 06:07,2,9,4,7,3,2,2,5,2
01/10/2022 06:08,5,3,2,6,5,4,10,3,1
01/10/2022 06:09,9,5,1,10,3,7,9,9,2
01/10/2022 06:10,9,4,4,4,2,3,6,6,3
01/10/2022 06:11,9,1,9,8,4,7,7,10,2
01/10/2022 06:12,4,9,2,5,7,7,1,10,2
01/10/2022 06:13,9,8,8,5,10,8,10,1,2
01/10/2022 06:14,5,9,2,4,9,5,3,3,1
01/10/2022 06:15,3,8,2,4,6,4,10,9,3
01/10/2022 06:16,6,2,2,5,2,1,1,4,3
01/10/2022 06:17,4,5,10,2,4,4,5,4,2
01/10/2022 06:18,1,7,5,3,3,7,3,3,2
01/10/2022 06:19,4,7,5,10,8,4,6,3,3
01/10/2022 06:20,4,2,10,4,6,4,7,1,1
01/10/2022 06:21,1,3,7,3,9,8,7,5,2
01/10/2022 06:22,3,1,5,7,2,6,1,9,2
01/10/2022 06:23,6,9,1,6,10,9,7,7,1
01/10/2022 06:24,4,6,9,1,1,10,4,1,3
01/10/2022 06:25,8,5,3,10,9,10,4,3,1
01/10/2022 06:26,7,1,4,4,6,8,3,2,3
01/10/2022 06:27,3,7,9,6,3,9,9,2,2
01/10/2022 06:28,8,3,5,7,10,8,3,4,3
01/10/2022 06:29,2,3,4,2,1,6,5,6,3
01/10/2022 06:30,7,5,7,3,8,5,1,3,3
01/10/2022 06:31,3,2,3,5,5,5,3,5,2
01/10/2022 06:32,10,6,2,3,6,4,10,6,2
01/10/2022 06:33,3,4,9,1,6,4,8,6,1
01/10/2022 06:34,2,2,5,9,6,3,9,2,1
01/10/2022 06:35,10,10,9,8,10,2,8,3,2
01/10/2022 06:36,6,4,5,7,10,9,4,1,3
01/10/2022 06:37,7,3,7,1,8,8,10,9,2
01/10/2022 06:38,10,7,1,2,8,7,8,7,1
01/10/2022 06:39,8,7,2,8,7,5,2,6,1
01/10/2022 06:40,10,4,9,5,4,4,8,8,2
01/10/2022 06:41,6,6,4,6,3,4,10,7,1
01/10/2022 06:42,8,4,2,4,5,8,10,2,3
01/10/2022 06:43,1,8,4,5,6,2,1,5,3
01/10/2022 06:44,1,5,9,9,8,3,6,7,3
01/10/2022 06:45,1,3,1,6,10,9,7,7,2
01/10/2022 06:46,4,10,6,3,3,1,1,3,3
01/10/2022 06:47,1,5,9,6,7,9,9,3,3
01/10/2022 06:48,3,6,2,6,2,7,1,7,1
01/10/2022 06:49,5,4,4,5,10,2,8,6,1
01/10/2022 06:50,1,3,9,8,4,8,5,6,2
01/10/2022 06:51,3,7,1,5,6,5,1,10,3
01/10/2022 06:52,2,10,2,3,5,9,4,7,3
01/10/2022 06:53,6,4,2,1,3,3,1,10,2
01/10/2022 06:54,7,4,10,10,3,4,6,3,2
01/10/2022 06:55,10,7,2,8,9,8,9,3,1
01/10/2022 06:56,7,10,5,1,7,3,3,10,3
01/10/2022 06:57,8,10,4,2,7,10,5,9,3
01/10/2022 06:58,2,10,5,2,10,8,6,1,2
01/10/2022 06:59,3,4,9,5,9,6,4,6,3
01/10/2022 07:00,6,3,4,9,6,4,7,8,3
01/10/2022 07:01,9,3,2,6,10,1,5,8,2
01/10/2022 07:02,5,1,7,1,8,3,10,9,1
01/10/2022 07:03,3,2,10,4,7,8,3,5,1
01/10/2022 07:04,9,1,6,7,10,3,4,1,2
01/10/2022 07:05,6,8,6,5,4,7,2,7,1
01/10/2022 07:06,6,6,6,10,10,3,3,8,1
01/10/2022 07:07,3,9,10,8,2,4,4,4,3
01/10/2022 07:08,10,8,5,4,5,2,7,10,3
01/10/2022 07:09,2,5,6,5,1,5,8,10,2
01/10/2022 07:10,1,2,10,6,10,3,7,9,1
01/10/2022 07:11,8,6,6,5,6,1,7,8,1
01/10/2022 07:12,10,7,5,8,10,6,8,5,2
01/10/2022 07:13,9,1,6,6,7,5,6,4,3
01/10/2022 07:14,5,4,3,4,2,1,3,6,1
01/10/2022 07:15,8,6,2,10,6,9,1,7,1
01/10/2022 07:16,8,1,1,9,9,5,10,10,3
01/10/2022 07:17,8,7,4,4,5,3,4,5,2
01/10/2022 07:18,10,10,4,7,7,7,5,8,1
01/10/2022 07:19,1,6,6,9,9,6,3,10,3
01/10/2022 07:20,8,8,10,6,10,7,4,3,2
01/10/2022 07:21,3,8,5,4,2,6,9,6,1
01/10/2022 07:22,5,1,4,6,4,10,10,3,2
01/10/2022 07:23,10,1,7,2,9,9,5,3,2
01/10/2022 07:24,6,10,5,7,7,10,6,8,2
01/10/2022 07:25,9,7,3,1,2,6,7,2,2
01/10/2022 07:26,1,8,7,9,5,6,6,1,2
01/10/2022 07:27,2,7,6,1,1,1,7,6,1
01/10/2022 07:28,8,6,4,4,4,1,6,7,1
01/10/2022 07:29,9,8,3,2,1,4,2,4,3
01/10/2022 07:30,1,7,3,4,3,8,6,10,2
01/10/2022 07:31,9,4,4,3,8,2,6,9,1
01/10/2022 07:32,6,4,10,6,4,5,2,6,2
01/10/2022 07:33,3,2,9,4,1,8,3,7,2
01/10/2022 07:34,8,7,4,5,10,4,8,4,2
01/10/2022 07:35,7,5,1,9,2,8,5,9,3
01/10/2022 07:36,9,10,5,10,5,2,10,4,2
01/10/2022 07:37,6,7,9,7,7,10,6,4,2
01/10/2022 07:38,7,8,4,3,10,5,8,9,3
01/10/2022 07:39,9,3,2,4,1,1,4,8,1
01/10/2022 07:40,5,5,5,3,7,7,6,4,3
01/10/2022 07:41,6,8,9,10,10,1,5,7,2
01/10/2022 07:42,2,7,7,4,3,5,3,5,2
01/10/2022 07:43,4,3,1,4,3,10,7,7,3
01/10/2022 07:44,4,10,6,9,8,3,10,1,1
01/10/2022 07:45,6,5,4,4,9,6,7,6,1
01/10/2022 07:46,2,10,9,7,10,9,3,9,3
01/10/2022 07:47,5,8,6,7,6,6,3,8,1
01/10/2022 07:48,9,2,1,8,6,1,9,2,2
01/10/2022 07:49,5,3,3,5,8,6,2,2,3
01/10/2022 07:50,6,4,6,10,4,2,3,6,1
01/10/2022 07:51,4,6,10,6,2,7,10,5,1
01/10/2022 07:52,8,10,2,7,5,10,7,3,1
01/10/2022 07:53,10,3,8,3,7,1,3,4,2
01/10/2022 07:54,2,9,3,7,10,9,2,4,2
01/10/2022 07:55,9,6,5,6,5,4,5,4,3
01/10/2022 07:56,2,9,4,3,8,3,2,2,2
01/10/2022 07:57,6,8,5,5,7,3,1,4,3
01/10/2022 07:58,4,2,3,3,10,2,1,2,1
01/10/2022 07:59,3,5,8,7,3,4,6,7,1
